Axe_Desc_first_purchase,channel_recruitment,first_purchase_discounted,customers,avg_first_basket,avg_90d_value,avg_12m_value,avg_margin_12m,repeat_rate,high_value_rate,omnichannel_rate,median_days_to_second,discount_label,first_category_display,channel_display,cohort_label,estimated_value_pool,decision,commercial_play,why_it_matters,owner,kpi
SKINCARE|SKINCARE|MAKE UP|MAKE UP|SKINCARE|SKINCARE|SKINCARE,store,0,1,117.68,36.99,193.68,193.68,1.0,0.0,0.0,189.0,Full Price,Mixed Basket (Skincare + 6 others),Store,Mixed Basket (Skincare + 6 others) / Store / Full Price,193.68,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
HAIRCARE|SKINCARE|HAIRCARE,store,1,2,96.41499999999999,96.41499999999999,96.41499999999999,76.935,0.0,0.0,0.0,,Discounted,Mixed Basket (Haircare + 2 others),Store,Mixed Basket (Haircare + 2 others) / Store / Discounted,192.82999999999998,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
MAEK UP|MAEK UP|SKINCARE|HAIRCARE|MAKE UP,store,1,1,191.98,191.98000000000002,191.98000000000002,176.98000000000002,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Discounted,191.98000000000002,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAKE UP|MAKE UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|MAEK UP|MAKE UP,estore,0,1,114.81,190.55,190.55,169.3,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 9 others),Estore,Mixed Basket (Skincare + 9 others) / Estore / Full Price,190.55,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|SKINCARE|MAEK UP|SKINCARE|MAKE UP|MAKE UP,store,0,1,190.5,190.5,190.5,190.5,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,190.5,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAKE UP|MAKE UP|MAEK UP|MAEK UP|SKINCARE|SKINCARE|SKINCARE|MAKE UP|MAKE UP,store,1,1,190.5,190.5,190.5,183.25,0.0,0.0,0.0,,Discounted,Mixed Basket (Skincare + 9 others),Store,Mixed Basket (Skincare + 9 others) / Store / Discounted,190.5,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|MAEK UP|MAEK UP|SKINCARE|MAEK UP|MAKE UP,store,0,1,169.0,169.0,190.0,190.0,1.0,0.0,1.0,170.0,Full Price,Mixed Basket (Skincare + 6 others),Store,Mixed Basket (Skincare + 6 others) / Store / Full Price,190.0,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
HAIRCARE|MAEK UP|SKINCARE|MAEK UP|SKINCARE|MAEK UP,store,0,1,189.99,189.99,189.99,189.99,0.0,0.0,0.0,,Full Price,Mixed Basket (Haircare + 5 others),Store,Mixed Basket (Haircare + 5 others) / Store / Full Price,189.99,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|SKINCARE|MAEK UP,store,0,1,189.89,189.89000000000001,189.89000000000001,189.89000000000001,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 6 others),Store,Mixed Basket (Make Up + 6 others) / Store / Full Price,189.89000000000001,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP,store,0,2,156.425,78.94,94.94,94.94,0.5,0.0,0.0,15.0,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,189.88,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS|MAKE UP|MAKE UP|MAKE UP|MAEK UP|MAKE UP,store,1,1,96.87,96.98,189.87,189.87,1.0,0.0,0.0,14.0,Discounted,Mixed Basket (Others + 5 others),Store,Mixed Basket (Others + 5 others) / Store / Discounted,189.87,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAKE UP|MAKE UP|MAKE UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP,store,0,1,271.92,50.4,189.58999999999997,158.29999999999998,1.0,0.0,1.0,142.0,Full Price,Mixed Basket (Make Up + 9 others),Store,Mixed Basket (Make Up + 9 others) / Store / Full Price,189.58999999999997,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
OTHERS|FRAGRANCE|MAKE UP|MAEK UP|MAEK UP|FRAGRANCE,store,1,1,189.47,189.46999999999997,189.46999999999997,132.96999999999997,0.0,0.0,0.0,,Discounted,Mixed Basket (Others + 5 others),Store,Mixed Basket (Others + 5 others) / Store / Discounted,189.46999999999997,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP|HAIRCARE|MAEK UP,store,1,1,189.39,189.39,189.39,184.39,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 6 others),Store,Mixed Basket (Make Up + 6 others) / Store / Discounted,189.39,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAKE UP|MAEK UP|MAEK UP,store,1,3,63.10666666666666,63.10666666666666,63.10666666666666,46.906666666666666,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 3 others),Store,Mixed Basket (Make Up + 3 others) / Store / Discounted,189.32,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
SKINCARE|MAKE UP|MAKE UP|MAKE UP|MAEK UP|MAEK UP,store,0,1,123.77,189.1,189.1,183.79999999999998,1.0,0.0,0.0,50.0,Full Price,Mixed Basket (Skincare + 5 others),Store,Mixed Basket (Skincare + 5 others) / Store / Full Price,189.1,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAKE UP|SKINCARE,estore,1,2,47.535,94.49999999999999,94.49999999999999,72.60499999999999,1.0,0.0,0.5,4.0,Discounted,Mixed Basket (Skincare + 2 others),Estore,Mixed Basket (Skincare + 2 others) / Estore / Discounted,188.99999999999997,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
MAKE UP|MAEK UP|MAKE UP|MAKE UP|MAEK UP|MAKE UP,store,0,1,134.97,122.99000000000001,188.95,188.95,1.0,0.0,1.0,30.0,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,188.95,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|MAKE UP|MAEK UP|HAIRCARE|MAKE UP|MAEK UP,store,0,1,188.68,188.68,188.68,188.68,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 6 others),Store,Mixed Basket (Make Up + 6 others) / Store / Full Price,188.68,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|SKINCARE|MAKE UP|MAKE UP|MAEK UP|SKINCARE|MAEK UP,store,1,1,166.15,188.23000000000002,188.23000000000002,166.48000000000002,1.0,0.0,0.0,1.0,Discounted,Mixed Basket (Make Up + 6 others),Store,Mixed Basket (Make Up + 6 others) / Store / Discounted,188.23000000000002,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE,store,0,1,135.0,187.9,187.9,187.9,1.0,0.0,0.0,1.0,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,187.9,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAEK UP|HAIRCARE,store,0,2,73.19500000000001,93.9,93.9,93.9,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 2 others),Store,Mixed Basket (Skincare + 2 others) / Store / Full Price,187.8,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP,estore,1,1,106.38,13.99,187.59000000000003,144.19000000000003,1.0,0.0,0.0,340.0,Discounted,Mixed Basket (Make Up + 6 others),Estore,Mixed Basket (Make Up + 6 others) / Estore / Discounted,187.59000000000003,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAEK UP|MAKE UP|MAKE UP|SKINCARE,store,0,2,75.965,88.8,93.795,82.37,0.5,0.0,0.0,55.0,Full Price,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Skincare + 4 others) / Store / Full Price,187.59,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAKE UP|HAIRCARE|MAEK UP|MAKE UP|MAEK UP|MAKE UP|SKINCARE|HAIRCARE,store,1,1,187.59,187.59,187.59,172.71,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 7 others),Store,Mixed Basket (Make Up + 7 others) / Store / Discounted,187.59,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE|SKINCARE|MAEK UP|SKINCARE,store,0,2,63.900000000000006,76.9,93.775,88.15,1.0,0.0,0.5,71.5,Full Price,Mixed Basket (Skincare + 5 others),Store,Mixed Basket (Skincare + 5 others) / Store / Full Price,187.55,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAEK UP|FRAGRANCE,estore,0,1,104.5,104.5,187.48,187.48,1.0,0.0,0.0,141.0,Full Price,Mixed Basket (Skincare + 2 others),Estore,Mixed Basket (Skincare + 2 others) / Estore / Full Price,187.48,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAKE UP|MAEK UP,store,1,1,83.97,73.94,187.32,172.72,1.0,0.0,0.0,100.0,Discounted,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Discounted,187.32,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|SKINCARE|MAKE UP|HAIRCARE|MAEK UP,store,0,1,153.0,21.560000000000002,187.31,118.66,1.0,0.0,0.0,285.0,Full Price,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Full Price,187.31,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
FRAGRANCE|MAKE UP|MAEK UP|MAEK UP,store,0,1,187.0,187.0,187.0,187.0,0.0,0.0,0.0,,Full Price,Mixed Basket (Fragrance + 3 others),Store,Mixed Basket (Fragrance + 3 others) / Store / Full Price,187.0,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAKE UP|FRAGRANCE|MAEK UP,store,0,1,187.0,187.0,187.0,187.0,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 3 others),Store,Mixed Basket (Make Up + 3 others) / Store / Full Price,187.0,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
HAIRCARE|HAIRCARE|SKINCARE|SKINCARE|SKINCARE,store,0,1,186.8,186.8,186.8,186.8,0.0,0.0,0.0,,Full Price,Mixed Basket (Haircare + 4 others),Store,Mixed Basket (Haircare + 4 others) / Store / Full Price,186.8,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE|HAIRCARE|MAEK UP,store,0,1,186.5,186.5,186.5,186.5,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Skincare + 4 others) / Store / Full Price,186.5,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|MAEK UP|MAEK UP|MAEK UP|SKINCARE|MAKE UP|SKINCARE|MAEK UP,store,1,1,186.1,186.1,186.1,157.32,0.0,0.0,0.0,,Discounted,Mixed Basket (Skincare + 8 others),Store,Mixed Basket (Skincare + 8 others) / Store / Discounted,186.1,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
FRAGRANCE|SKINCARE|FRAGRANCE|FRAGRANCE,store,0,1,472.99,186.0,186.0,144.0,0.0,0.0,0.0,,Full Price,Mixed Basket (Fragrance + 3 others),Store,Mixed Basket (Fragrance + 3 others) / Store / Full Price,186.0,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP,store,0,1,185.82,185.82,185.82,185.82,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 9 others),Store,Mixed Basket (Make Up + 9 others) / Store / Full Price,185.82,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAKE UP|HAIRCARE|MAKE UP,estore,0,1,185.8,185.8,185.8,185.8,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 3 others),Estore,Mixed Basket (Make Up + 3 others) / Estore / Full Price,185.8,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|MAEK UP|SKINCARE|SKINCARE|SKINCARE|FRAGRANCE,estore,1,1,114.38,114.38,185.79,167.31,1.0,0.0,0.0,140.0,Discounted,Mixed Basket (Skincare + 6 others),Estore,Mixed Basket (Skincare + 6 others) / Estore / Discounted,185.79,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
HAIRCARE|MAEK UP|MAEK UP|MAKE UP|MAEK UP|SKINCARE,store,1,1,185.58,185.58,185.58,181.38000000000002,0.0,0.0,0.0,,Discounted,Mixed Basket (Haircare + 5 others),Store,Mixed Basket (Haircare + 5 others) / Store / Discounted,185.58,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP,store,1,3,62.75333333333333,61.70666666666667,61.70666666666667,54.45666666666667,0.3333333333333333,0.0,0.0,7.0,Discounted,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Discounted,185.12,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAKE UP|MAEK UP,estore,1,2,101.625,44.36,92.505,66.805,0.5,0.0,0.5,126.0,Discounted,Mixed Basket (Make Up + 5 others),Estore,Mixed Basket (Make Up + 5 others) / Estore / Discounted,185.01,Fix economics,"Keep the cohort but swap blanket discounts for bundles, samples, or exclusivity.","Top-line value exists, but too much of it is bought through discounting.",Acquisition + Merchandising,Margin per recruited customer
SKINCARE|SKINCARE|MAKE UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP,store,0,1,184.95,184.95,184.95,184.95,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 6 others),Store,Mixed Basket (Skincare + 6 others) / Store / Full Price,184.95,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAKE UP|MAEK UP,store,1,1,184.89,184.89,184.89,179.89,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 3 others),Store,Mixed Basket (Make Up + 3 others) / Store / Discounted,184.89,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|SKINCARE|SKINCARE|SKINCARE|MAEK UP,store,0,1,184.49,184.49,184.49,184.49,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Full Price,184.49,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAKE UP|SKINCARE|MAEK UP,estore,1,1,129.97,184.39999999999998,184.39999999999998,163.90999999999997,0.0,0.0,0.0,,Discounted,Mixed Basket (Skincare + 3 others),Estore,Mixed Basket (Skincare + 3 others) / Estore / Discounted,184.39999999999998,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|SKINCARE|SKINCARE|SKINCARE|FRAGRANCE,store,0,2,91.94,48.885,92.00999999999999,77.085,0.5,0.0,0.5,304.0,Full Price,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Skincare + 4 others) / Store / Full Price,184.01999999999998,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP,store,1,1,66.63,184.0,184.0,234.0,1.0,0.0,0.0,14.0,Discounted,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Discounted,184.0,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAEK UP|FRAGRANCE|MAKE UP|MAEK UP|MAKE UP,store,0,1,183.99,183.99,183.99,183.99,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 5 others),Store,Mixed Basket (Skincare + 5 others) / Store / Full Price,183.99,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
FRAGRANCE|MAEK UP|MAEK UP,store,0,3,142.55666666666667,61.29,61.29,61.29,0.0,0.0,0.0,,Full Price,Mixed Basket (Fragrance + 2 others),Store,Mixed Basket (Fragrance + 2 others) / Store / Full Price,183.87,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAKE UP|SKINCARE,estore,0,2,47.49,91.935,91.935,90.135,1.0,0.0,0.0,15.5,Full Price,Mixed Basket (Skincare + 2 others),Estore,Mixed Basket (Skincare + 2 others) / Estore / Full Price,183.87,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|SKINCARE|SKINCARE|SKINCARE|MAKE UP|SKINCARE,store,0,1,211.88,183.84,183.84,183.84,1.0,0.0,0.0,2.0,Full Price,Mixed Basket (Make Up + 6 others),Store,Mixed Basket (Make Up + 6 others) / Store / Full Price,183.84,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
OTHERS|MAEK UP|SKINCARE|SKINCARE|SKINCARE|MAKE UP|FRAGRANCE,store,0,1,183.38,183.38,183.38,208.78,0.0,0.0,0.0,,Full Price,Mixed Basket (Others + 6 others),Store,Mixed Basket (Others + 6 others) / Store / Full Price,183.38,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAEK UP|MAKE UP|SKINCARE|MAKE UP|MAKE UP|SKINCARE|SKINCARE|MAEK UP|MAEK UP|SKINCARE|SKINCARE,store,0,1,183.31,183.31,183.31,183.31,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 11 others),Store,Mixed Basket (Skincare + 11 others) / Store / Full Price,183.31,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAEK UP|SKINCARE|SKINCARE|MAKE UP|MAEK UP,store,1,1,183.12,183.12,183.12,175.64000000000001,0.0,0.0,0.0,,Discounted,Mixed Basket (Make Up + 5 others),Store,Mixed Basket (Make Up + 5 others) / Store / Discounted,183.12,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAKE UP|FRAGRANCE,estore,0,2,91.45,91.45,91.45,91.45,0.0,0.0,0.0,,Full Price,Mixed Basket (Make Up + 2 others),Estore,Mixed Basket (Make Up + 2 others) / Estore / Full Price,182.9,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
SKINCARE|MAEK UP|MAEK UP|MAKE UP|MAEK UP,store,1,1,52.96,182.82999999999998,182.82999999999998,172.83999999999997,1.0,0.0,0.0,1.0,Discounted,Mixed Basket (Skincare + 4 others),Store,Mixed Basket (Skincare + 4 others) / Store / Discounted,182.82999999999998,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
HAIRCARE|MAKE UP|MAEK UP|MAEK UP|SKINCARE|MAEK UP|MAEK UP|MAEK UP,store,0,1,194.9,182.75,182.75,158.5,0.0,0.0,0.0,,Full Price,Mixed Basket (Haircare + 7 others),Store,Mixed Basket (Haircare + 7 others) / Store / Full Price,182.75,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAEK UP|MAEK UP|FRAGRANCE|MAEK UP|HAIRCARE|MAKE UP|FRAGRANCE|MAKE UP,store,0,1,243.89,182.39,182.39,182.39,1.0,0.0,0.0,0.0,Full Price,Mixed Basket (Make Up + 7 others),Store,Mixed Basket (Make Up + 7 others) / Store / Full Price,182.39,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAKE UP|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|SKINCARE|MAEK UP|SKINCARE|FRAGRANCE,store,1,1,182.31,182.31,182.31,171.81,0.0,0.0,0.0,,Discounted,Mixed Basket (Skincare + 11 others),Store,Mixed Basket (Skincare + 11 others) / Store / Discounted,182.31,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
OTHERS|MAKE UP|MAKE UP|MAKE UP|FRAGRANCE|SKINCARE|FRAGRANCE|MAKE UP|MAEK UP|MAEK UP|FRAGRANCE|MAEK UP|MAEK UP,store,1,1,430.92,182.18,182.18,182.18,0.0,0.0,0.0,,Discounted,Mixed Basket (Others + 12 others),Store,Mixed Basket (Others + 12 others) / Store / Discounted,182.18,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
MAKE UP|MAKE UP|MAEK UP|MAEK UP|SKINCARE,store,0,2,105.725,91.00500000000001,91.00500000000001,70.28500000000001,0.5,0.0,0.0,0.0,Full Price,Mixed Basket (Make Up + 4 others),Store,Mixed Basket (Make Up + 4 others) / Store / Full Price,182.01000000000002,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP|MAEK UP|MAEK UP|MAKE UP|MAEK UP|MAEK UP,store,0,1,392.0,182.0,182.0,182.0,1.0,0.0,0.0,14.0,Full Price,Mixed Basket (Make Up + 10 others),Store,Mixed Basket (Make Up + 10 others) / Store / Full Price,182.0,Monitor,Hold budget steady and run controlled message tests.,The cohort is directionally interesting but not yet strong enough to scale.,CRM + Analytics,Incremental value from tests
SKINCARE|MAKE UP|SKINCARE|MAEK UP|SKINCARE|FRAGRANCE|SKINCARE|FRAGRANCE,store,0,1,181.89,181.89,181.89,181.89,0.0,0.0,0.0,,Full Price,Mixed Basket (Skincare + 7 others),Store,Mixed Basket (Skincare + 7 others) / Store / Full Price,181.89,Fix speed,Add a purchase-two trigger within 30 days and shorten the welcome sequence.,"The first basket is acceptable, but the path slows before a profitable habit forms.",CRM,Second purchase within 30 days
